emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,gesture
22,56,29,100,16,1,2,5,0
11,0,100,37,16,1,0,2,0
33,38,54,100,70,28,16,7,0
3,21,41,100,51,10,0,0,0
32,100,76,46,37,72,17,4,0
33,23,73,67,21,100,20,0,0
7,60,0,100,11,34,7,0,0
0,29,55,100,12,7,5,5,0
16,43,100,1,11,25,6,1,0
64,100,27,50,90,7,8,11,0
2,100,61,1,13,24,0,1,0
84,100,74,58,20,26,26,42,0
2,100,69,39,36,32,1,4,0
63,12,53,100,23,76,38,43,0
49,88,57,100,47,75,20,30,0
10,82,100,64,84,62,2,0,0
40,100,65,61,50,51,11,40,0
18,97,89,36,32,100,16,30,0
10,46,54,30,100,42,2,16,0
24,49,41,100,97,46,6,8,0
10,89,65,100,0,43,20,7,0
14,100,46,32,26,48,0,16,0
21,100,50,2,11,30,21,21,0
0,4,38,100,8,5,1,0,0
16,74,100,69,49,10,1,0,0
87,50,12,100,84,43,3,3,0
39,82,100,92,40,18,3,7,0
34,49,32,13,100,42,13,1,0
22,57,100,45,61,31,0,5,0
64,100,46,40,28,23,9,21,0
9,100,76,57,2,14,1,4,0
43,65,100,59,36,8,9,21,0
25,1,100,10,60,1,17,17,0
17,82,100,33,16,3,4,12,0
26,100,27,2,47,31,5,14,0
13,2,28,100,26,0,3,0,0
43,100,96,42,22,6,8,10,0
22,100,34,17,81,15,11,10,0
2,23,90,100,72,0,1,2,0
36,74,100,20,33,8,5,8,0
6,5,100,91,36,19,3,2,0
0,100,63,15,22,39,0,2,0
32,67,100,18,97,18,20,20,0
40,18,100,69,23,12,7,6,0
15,56,21,100,29,64,0,0,0
49,100,69,100,6,23,16,9,0
3,18,79,100,23,15,13,9,0
Battery: 87
9,100,96,24,0,10,0,0,0
2,86,100,95,8,15,5,8,0
24,100,9,1,82,3,7,4,0
19,100,2,92,28,12,4,12,0
10,81,32,100,1,8,1,3,0
21,73,41,100,64,10,13,14,0
12,100,82,48,42,31,8,8,0
98,100,41,94,56,20,19,41,0
50,100,47,60,18,14,1,5,0
44,100,32,38,8,2,17,17,0
11,62,88,100,25,12,10,2,0
8,100,58,91,6,2,8,5,0
21,30,100,73,2,18,1,9,0
17,18,21,100,9,6,2,17,0
28,24,35,35,100,40,6,0,0
15,63,35,100,38,40,16,18,0
52,41,68,100,19,6,14,22,0
64,31,8,100,41,49,20,20,0
2,100,43,31,23,25,7,2,0
23,7,12,100,25,23,19,38,0
15,0,100,82,4,0,1,0,0
28,100,0,52,30,20,0,2,0
7,64,94,100,23,41,21,11,0
2,100,30,55,4,6,5,8,0
30,100,6,47,27,2,14,17,0
15,99,100,75,0,24,3,1,0
48,18,80,100,20,10,15,26,0
4,100,75,6,46,17,26,11,0
